SEX,COUNTRY,NACE_R2,TIME,UNIT,VALUE
Females,Lithuania,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),1584
Females,Lithuania,Construction,2018,Euro,1060
Females,Lithuania,Construction,2018,Purchasing power standard (PPS),1560
Females,Lithuania,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1124
Females,Lithuania,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1654
Females,Lithuania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1119
Females,Lithuania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1647
Females,Lithuania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1116
Females,Lithuania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),1643
Females,Lithuania,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1051
Females,Lithuania,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),1546
Females,Lithuania,Transportation and storage,2018,Euro,1133
Females,Lithuania,Transportation and storage,2018,Purchasing power standard (PPS),1668
Females,Lithuania,Accommodation and food service activities,2018,Euro,886
Females,Lithuania,Accommodation and food service activities,2018,Purchasing power standard (PPS),1304
Females,Lithuania,Information and communication,2018,Euro,1393
Females,Lithuania,Information and communication,2018,Purchasing power standard (PPS),2049
Females,Lithuania,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,1321
Females,Lithuania,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),1943
Females,Lithuania,Financial and insurance activities,2018,Euro,1524
Females,Lithuania,Financial and insurance activities,2018,Purchasing power standard (PPS),2242
Females,Lithuania,Real estate activities,2018,Euro,1008
Females,Lithuania,Real estate activities,2018,Purchasing power standard (PPS),1484
Females,Lithuania,Professional scientific and technical activities,2018,Euro,1321
Females,Lithuania,Professional scientific and technical activities,2018,Purchasing power standard (PPS),1944
Females,Lithuania,Administrative and support service activities,2018,Euro,1163
Females,Lithuania,Administrative and support service activities,2018,Purchasing power standard (PPS),1712
Females,Lithuania,Public administration and defence; compulsory social security,2018,Euro,1154
Females,Lithuania,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),1698
Females,Lithuania,Education,2018,Euro,988
Females,Lithuania,Education,2018,Purchasing power standard (PPS),1454
Females,Lithuania,Human health and social work activities,2018,Euro,1261
Females,Lithuania,Human health and social work activities,2018,Purchasing power standard (PPS),1856
Females,Lithuania,Arts entertainment and recreation,2018,Euro,820
Females,Lithuania,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1206
Females,Lithuania,Other service activities,2018,Euro,1018
Females,Lithuania,Other service activities,2018,Purchasing power standard (PPS),1498
Females,Luxembourg,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5992
Females,Luxembourg,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),4628
Females,Luxembourg,Industry construction and services (except public administration defense compulsory social security),2018,Euro,5924
Females,Luxembourg,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),4575
Females,Luxembourg,Business economy,2018,Euro,5040
Females,Luxembourg,Business economy,2018,Purchasing power standard (PPS),3893
Females,Luxembourg,Industry and construction,2018,Euro,4448
Females,Luxembourg,Industry and construction,2018,Purchasing power standard (PPS),3435
Females,Luxembourg,Industry (except construction),2018,Euro,4580
Females,Luxembourg,Industry (except construction),2018,Purchasing power standard (PPS),3537
Females,Luxembourg,Mining and quarrying,2018,Euro,0
Females,Luxembourg,Mining and quarrying,2018,Purchasing power standard (PPS),0
Females,Luxembourg,Manufacturing,2018,Euro,4525
Females,Luxembourg,Manufacturing,2018,Purchasing power standard (PPS),3494
Females,Luxembourg,Electricity gas steam and air conditioning supply,2018,Euro,0
Females,Luxembourg,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),0
Females,Luxembourg,Water supply; sewerage waste management and remediation activities,2018,Euro,4697
Females,Luxembourg,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),3627
Females,Luxembourg,Construction,2018,Euro,4069
Females,Luxembourg,Construction,2018,Purchasing power standard (PPS),3142
Females,Luxembourg,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,6062
Females,Luxembourg,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),4682
Females,Luxembourg,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5993
Females,Luxembourg,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),4628
Females,Luxembourg,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,4339
Females,Luxembourg,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),3351
Females,Luxembourg,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,4222
Females,Luxembourg,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3261
Females,Luxembourg,Transportation and storage,2018,Euro,4480
Females,Luxembourg,Transportation and storage,2018,Purchasing power standard (PPS),3460
Females,Luxembourg,Accommodation and food service activities,2018,Euro,3302
Females,Luxembourg,Accommodation and food service activities,2018,Purchasing power standard (PPS),2550
