SEX,GEO,SIZECLAS,Value
Females,Albania,Professional scientific and technical activities,493
Females,Albania,Administrative and support service activities,470
Females,Albania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Females,Albania,Public administration and defence; compulsory social security0
Females,Albania,Education; human health and social work activities; arts entertainment and recreation; other service activities,447
Females,Albania,Education,469
Females,Albania,Human health and social work activities,415
Females,Albania,Arts entertainment and recreation,419
Females,Albania,Other service activities,438
Females,Serbia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),599
Females,Serbia,Industry construction and services (except public administration defense compulsory social security),591
Females,Serbia,Business economy,586
Females,Serbia,Industry and construction,539
Females,Serbia,Industry (except construction),536
Females,Serbia,Mining and quarrying,0
Females,Serbia,Manufacturing,514
Females,Serbia,Electricity gas steam and air conditioning supply,0
Females,Serbia,Water supply; sewerage waste management and remediation activities,524
Females,Serbia,Construction,609
Females,Serbia,Services (except activities of households as employers and extra-territorial organisations and bodies),619
Females,Serbia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),611
