"SEX","GEO","INDIC_SE","ISCED11","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 165"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 515"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 159"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1 692"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 411"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1 716"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","2 445"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","1 841"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","2 624"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","1 434"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 043"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","1 777"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 532"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1 728"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 462"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","1 810"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","2 579"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","1 629"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","2 321"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","1 798"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","2 562"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","1 263"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 799"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1 425"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 031"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","1 547"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","2 205"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1 394"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 987"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","1 294"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","1 844"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","1 639"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","2 336"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","1 376"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","1 961"
